ANO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICION,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMANO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,81,arauca,73431,0.7415,0.7411,0.4981,0.7109000000000001,0.5536,0.3148999999999999,0.8509,0.7573000000000001,0.9342,0.8588,0.6426000000000001,17.62,0.3032999999999999,0.0214,0.0197999999999999,0.0186,0.0246,0.0283,0.9772,0.0,0.9814,0.0246,0.9571,0.0013,0.0,0.9814,0.0,0.0146,0.0278,0.0,0.0229,0.0437,0.0204999999999999
2011,85,casanare,85803,1.0111,1.0105,0.7127,0.9947,0.8256,0.4264,1.1506999999999998,0.9458,1.2309,1.2623,0.8299,25.31,0.4,0.0388,0.032,0.034,0.046,0.0418,0.9212,0.0036,0.9396,0.046,0.9114,0.04,0.0036,0.9396,0.0644,0.0467999999999999,0.0356999999999999,0.0036,0.032,0.0538999999999999,0.0123
2011,86,putumayo,93828,0.8046,0.8046,0.4915,0.8217,0.5636,0.2724,0.9362,0.8242,1.1023,0.9071,0.6285000000000001,21.18,0.1553,0.0418,0.0324,0.0361,0.0562999999999999,0.0331,0.9561,0.0,0.9635,0.0562999999999999,0.945,0.0021,0.0,0.9635,0.0,0.0219,0.0337,0.0,0.0297,0.0491,0.019
2011,88,"archipielago de san andres, providencia y santa catalina",15852,0.6728000000000001,0.6723,0.57,0.6826000000000001,0.5908,0.3914999999999999,0.738,0.6234000000000001,0.7508,0.7879,0.6633,24.01,0.6563,0.0172,0.0084,0.0302999999999999,0.0059,0.0081999999999999,0.9673,0.0,0.9626,0.0059,0.9557,0.0155,0.0,0.9626,0.0219,0.0361,0.0363,0.0,0.0344,0.0562,0.0132
2011,91,amazonas,22223,0.8234,0.8231999999999999,0.6368,0.8723000000000001,0.5065,0.2191,0.9453,0.9449,1.1782,0.8245999999999999,0.5801,14.95,0.3636,0.0546,0.0556,0.0366999999999999,0.0821,0.079,0.9116,0.0017,0.9283,0.0821,0.8515,0.0338,0.0017,0.9283,0.0316,0.0695,0.0515,0.0017,0.0513999999999999,0.0639,0.0415
2011,94,guainia,11920,0.7487,0.7487,0.6185,0.7359,0.2888,0.0842,0.9552,1.1275,1.3974000000000002,0.6884,0.3614,20.37,0.0421,0.1094,0.1,0.1073,0.1162,0.1285,0.7392,0.1313,0.7337,0.1162,0.8086,0.155,0.1313,0.7337,0.1568999999999999,0.063,0.0077,0.1313,0.0069999999999999,0.0098,0.0021
2011,95,guaviare,31133,0.6404000000000001,0.6402,0.3215999999999999,0.6542,0.4515999999999999,0.2007999999999999,0.7829999999999999,0.5206000000000001,0.9299,0.7815000000000001,0.5368999999999999,26.79,0.1073,0.0902,0.0554,0.0891,0.1002,0.089,0.9115,0.0,0.9173,0.1002,0.8893000000000001,0.0018,0.0,0.9173,0.0,0.0217,0.0241,0.0,0.0208,0.035,0.0186
2011,97,vaupes,12690,0.6218,0.6218,0.1921999999999999,0.6541,0.2904,0.0973,0.7229000000000001,0.3203,1.0128,0.602,0.3992,13.39,0.0762999999999999,0.0993999999999999,0.0722,0.0872,0.121,0.1424,0.8116,0.0361,0.815,0.121,0.7872,0.0889,0.0361,0.815,0.081,0.0704,0.0615,0.0361,0.0776,0.0434,0.0206
2011,99,vichada,20360,0.7306999999999999,0.7298,0.3184,0.7447,0.3289,0.1553999999999999,0.8208,0.5078,1.2078,0.5948,0.3903,15.7,0.1667,0.0733,0.0882,0.0877,0.0429,0.0266999999999999,0.9177,0.0,0.9001,0.0429,0.9657,0.009,0.0,0.9001,0.0026,0.0076,0.0354,0.0,0.0306999999999999,0.0545,0.0344
2012,5,antioquia,1278686,0.9279,0.9265,0.732,0.9265,0.7484000000000001,0.435,1.058,0.9438,1.1603,1.0914,0.8090999999999999,27.96,0.6251,0.0401,0.0255,0.035,0.0519,0.0377,0.9204,0.002,0.9305,0.0519,0.9221,0.0395,0.002,0.9305,0.0555,0.0401999999999999,0.0192999999999999,0.002,0.0167,0.0295,0.011
2012,8,atlantico,523911,0.9159,0.9143,0.5303,0.8905,0.7673000000000001,0.4586,1.0039,0.8756,1.0984,1.0295,0.7763,22.46,0.5104,0.0332,0.0200999999999999,0.0359,0.0343,0.0277,0.9629,0.0016,0.9607,0.0343,0.969,0.0042,0.0016,0.9607,0.0056999999999999,0.0034999999999999,0.008,0.0016,0.0085,0.0093,0.0042
2012,11,"bogota, d.c.",1470171,0.8694,0.8652,0.6633,0.8397,0.8147,0.5178,0.9286,0.8217,0.9428,1.0109,0.7859,17.5,1.0,0.0389,,0.0342,0.0487999999999999,0.0445,0.9611,0.0,0.9658,0.0487999999999999,0.9555,0.0,0.0,0.9658,0.0,0.0,0.0516999999999999,0.0,0.0361,0.0831,0.0408
2012,13,bolivar,495108,0.8896999999999999,0.8887,0.6047,0.8767,0.6801999999999999,0.3807999999999999,1.0353,1.0656,1.1628,1.0031,0.7706999999999999,22.5,0.3344,0.0339,0.0337,0.0325,0.0356999999999999,0.035,0.9283,0.009,0.9356,0.0356999999999999,0.9214,0.0378,0.009,0.9356,0.0532,0.0436,0.024,0.009,0.0249,0.0288,0.0101
2012,15,boyaca,297132,0.857,0.8564,0.7048000000000001,0.8146,0.7461,0.4824,0.9996,0.9295,0.9526,1.1124,0.9174,24.77,0.2995,0.0323,0.0274,0.0237999999999999,0.0426,0.0347,0.9192,0.0021,0.9411,0.0426,0.9166,0.0486,0.0021,0.9411,0.0748,0.0487,0.02,0.0021,0.0144,0.0311,0.015
2012,17,caldas,198526,0.8454999999999999,0.845,0.6428,0.8103,0.72,0.4382999999999999,0.966,0.8488,1.0017,1.0316,0.8079000000000001,23.73,0.3075,0.0464,0.047,0.0398,0.0591,0.0356999999999999,0.8895000000000001,0.0046999999999999,0.9035,0.0591,0.9021,0.064,0.0046999999999999,0.9035,0.0877,0.0622,0.0432,0.0046999999999999,0.0426,0.0573,0.0237999999999999
2012,18,caqueta,124622,0.8328,0.8325,0.4934,0.8586,0.5623,0.2437,0.9826,0.8633,1.1804,0.9495,0.5865,27.41,0.1198,0.0723,0.0691,0.0692,0.0838,0.0521999999999999,0.916,0.0013,0.9224,0.0838,0.9291,0.0116,0.0013,0.9224,0.0192,0.0187,0.0116,0.0013,0.0109,0.016,0.0072
2012,19,cauca,325212,0.8348,0.8340000000000001,0.5359,0.8538,0.6053000000000001,0.2956,1.0215,0.9447,1.2129,0.9898,0.6713,18.85,0.4375,0.0401999999999999,0.0289,0.0304,0.0542,0.0553,0.9205,0.0034999999999999,0.9262,0.0542,0.9103,0.0393,0.0034999999999999,0.9262,0.0434,0.0344,0.0115,0.0034999999999999,0.0106,0.0161,0.008
2012,20,cesar,263271,0.9415,0.9401,0.6594,0.9385,0.6936,0.3461999999999999,1.09,1.2649,1.2651,1.0122,0.711,26.28,0.259,0.0513,0.0622,0.0528,0.0508,0.0324,0.9008,0.0212,0.908,0.0508,0.9111,0.048,0.0212,0.908,0.0681,0.0565,0.0149,0.0212,0.0137,0.02,0.0089
2012,23,cordoba,405302,0.9378,0.9369,0.6506000000000001,0.9154,0.7182,0.3752,1.1073,1.1496,1.2151,1.1146,0.7937000000000001,22.35,0.3049,0.0295,0.0314,0.0248,0.0351,0.0331,0.9533,0.0048,0.9617,0.0351,0.9423,0.0172,0.0048,0.9617,0.0243,0.0246,0.0256,0.0048,0.0259,0.0301,0.0152
